replicate	fa	treatment	fa_conc
S_20	C22:1	Pro	8.350205674
S_20	C22:2	Pro	0
S_20	C22:5(n-3)	Pro	2.703180693
S_20	C22:6(n-3)	Pro	0.843360311
S_20	C24:0	Pro	0
S_20	C24:1	Pro	0
S_21	C08:0	Mix	0
S_21	C10:0	Mix	0
S_21	C11:0	Mix	0
S_21	C12:0	Mix	0
S_21	C13:0	Mix	0
S_21	C14:0	Mix	0
S_21	C14:1	Mix	0
S_21	C15:0	Mix	0
S_21	C15:1	Mix	0
S_21	C16:0	Mix	48.79409414
S_21	C16:1	Mix	7.02377754
S_21	C17:1	Mix	0
S_21	C18:0	Mix	49.7438839
S_21	C18:1	Mix	22.6034835
S_21	C18:2(n-6t)	Mix	0
S_21	C18:2(n-6c)	Mix	13.30010689
S_21	C18:3(n-6)	Mix	0
S_21	C18:3(n-3)	Mix	2.236710253
S_21	C18:4(n-3)	Mix	0
S_21	C20:0	Mix	1.764485396
S_21	C20:1	Mix	2.89131949
S_21	C20:2(n-6)	Mix	4.358574139
S_21	C20:3(n-6)	Mix	1.296831425
S_21	C20:4(n-6)	Mix	14.12104983
S_21	C20:3(n-3)	Mix	0
S_21	C21:0	Mix	0
S_21	C20:5(n-3)	Mix	12.82124069
S_21	C22:0	Mix	0
S_21	C22:1	Mix	14.28246717
S_21	C22:2	Mix	0
S_21	C22:5(n-3)	Mix	2.653441206
S_21	C22:6(n-3)	Mix	1.272482354
S_21	C24:0	Mix	0
S_21	C24:1	Mix	0
S_22	C08:0	Mix	0
S_22	C10:0	Mix	0
S_22	C11:0	Mix	0
S_22	C12:0	Mix	0
S_22	C13:0	Mix	0
S_22	C14:0	Mix	31.8276899
S_22	C14:1	Mix	0
S_22	C15:0	Mix	0
S_22	C15:1	Mix	0
S_22	C16:0	Mix	85.98567834
S_22	C16:1	Mix	45.33105617
S_22	C17:1	Mix	0
S_22	C18:0	Mix	59.4075502
S_22	C18:1	Mix	3.983302328
S_22	C18:2(n-6t)	Mix	0
S_22	C18:2(n-6c)	Mix	22.88752229
S_22	C18:3(n-6)	Mix	0.842857377
S_22	C18:3(n-3)	Mix	5.205169918
S_22	C18:4(n-3)	Mix	1.230096362
S_22	C20:0	Mix	2.18504055
S_22	C20:1	Mix	5.077894149
S_22	C20:2(n-6)	Mix	5.760650247
S_22	C20:3(n-6)	Mix	0.567881191
S_22	C20:4(n-6)	Mix	13.91452874
S_22	C20:3(n-3)	Mix	0
S_22	C21:0	Mix	0
S_22	C20:5(n-3)	Mix	15.65125805
S_22	C22:0	Mix	0
S_22	C22:1	Mix	14.4315715
S_22	C22:2	Mix	0
S_22	C22:5(n-3)	Mix	2.91273
S_22	C22:6(n-3)	Mix	0.632224145
S_22	C24:0	Mix	0
S_22	C24:1	Mix	0
S_23	C08:0	Mix	0
